year,AVISO,NASA,COLORADO
1993.5,-34.94343114804764,-34.81165464937973,-35.61351092082403
1994.5,-33.94076318615575,-30.058260152290885,-30.80465797964756
1995.5,-31.33388760075034,-24.88969773558089,-25.562824962569756
1996.5,-27.736661245194785,-23.528386724851423,-22.207246214941673
1997.5,-23.442867834534123,-20.50400383539704,-17.513326428845417
1998.5,-20.017247618317906,-20.80172241569933,-18.52956885308784
1999.5,-17.982865185885476,-17.707350418610485,-19.352599156118146
2000.5,-14.368029510209798,-12.602864690110106,-14.798216803176967
2001.5,-9.762383834534123,-7.23779807444912,-8.772349156118144
2002.5,-7.137060606305894,-6.943421470081223,-7.976182489451476
2003.5,-3.8718876183179063,-4.599817869756997,-5.337734291253279
2004.5,-1.653593834534128,-2.888373482112801,-2.4596261831451685
2005.5,3.0117994087091233,1.2694806718595046,2.5828873303683437
2006.5,5.389519115916322,2.9004050132738612,3.8695119549929657
2007.5,6.647759949249661,4.11841114864297,3.837346789827805
2008.5,9.912082806392505,8.482548436244436,7.2875119549929686
2009.5,14.407346165465874,12.984252391992953,11.327590033071047
2010.5,16.174526706006418,15.249553235235666,12.707184627665644
2011.5,15.558681030330739,14.598901386170674,11.956995438476454
2012.5,25.91427373303346,24.848457013349524,22.517779222260234
2013.5,28.652318327628038,27.56158376571988,24.942806249287248
2014.5,31.378295782583002,30.07241712614146,28.977650843881857
2015.5,40.75922319249292,39.0424335458391,38.6926440871251
2016.5,44.66907859789831,41.92903918335335,41.54129273577374
2017.5,46.33218157087129,42.28930799817606,42.24296841144941
2018.5,50.119044273573984,44.935290379412194,45.516968411449426
2019.5,56.75717238168209,51.67327452380566,52.52402246550349
2020.5,59.63379828258301,54.41065865166907,54.375543701024725
2021.5,64.69520913843886,58.78828573523565,59.221995438476455
2022.5,67.49799697627668,61.56642407847835,61.81931751054853
2023.5,73.53953481411452,67.13193645971454,68.64050895198997
2024.5,76.79760778708749,71.04116138835612,72.2473467898278
2025.5,77.50672400330373,71.54115270306448,72.24737381685483
